size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
49100,0,10084000,0,15810000,0,5584000
49200,10091000,0,0,15886000,0,5588000
49300,0,10086000,15835000,0,0,5590000
49400,0,0,0,15633000,0,15958000
49500,0,0,15708000,0,16180000,0
49600,0,0,15712000,0,15977000,0
49700,0,0,15713000,0,16347000,0
49800,0,0,15714000,0,16235000,0
49900,0,0,15708000,0,15927000,0
50000,0,0,15707000,0,15631000,0
50100,0,0,5590000,10100000,15717000,0
50200,0,0,5600000,10087000,15711000,0
50300,0,0,5591000,10085000,15713000,0
50400,0,0,5618000,10091000,15709000,0
50500,0,0,5591000,10079000,0,15715000
50600,0,0,5582000,0,0,15728000
50700,10082000,0,15758000,0,5588000,0
50800,10079000,0,15897000,0,0,5600000
50900,0,10085000,0,15825000,0,5606000
51000,0,10091000,0,16379000,0,0
51100,5092000,10085000,0,16308000,0,0
51200,15826000,0,0,15630000,10084000,0
51300,15907000,0,0,0,10090000,0
51400,0,15806000,0,0,10089000,0
51500,0,15883000,0,0,10088000,0
51600,0,16089000,0,0,5591000,10084000
51700,0,0,16082000,0,5588000,10090000
51800,0,0,15633000,0,16164000,0
51900,0,0,15733000,0,0,16049000
52000,0,0,0,15712000,0,16059000
52100,16195000,0,0,15711000,10092000,0
52200,475000,15586000,0,0,10116000,0
52300,0,15931000,0,0,10083000,0
52400,0,15595000,0,0,16229000,0
52500,0,0,15718000,0,16165000,0
52600,0,0,15707000,0,0,15995000
52700,15811000,0,0,15730000,10077000,0
52800,16134000,0,0,15710000,10085000,0
52900,0,15932000,0,0,10080000,0
53000,0,15623000,0,0,16328000,0
53100,0,0,15712000,0,16220000,0
53200,0,0,15725000,0,0,16028000
53300,0,0,0,15707000,0,15872000
53400,15942000,0,0,15713000,10077000,0
53500,0,15615000,0,0,0,0
53600,0,15709000,0,0,16081000,0
53700,0,0,15707000,0,16762000,0
53800,0,0,15718000,0,0,15891000
53900,0,0,0,15712000,10093000,560000
54000,0,15801000,0,0,15679000,0
54100,0,0,15621000,0,16442000,0
54200,0,0,15711000,0,0,16384000
54300,15855000,0,0,15716000,10095000,0
54400,0,15831000,0,0,10088000,0
54500,0,0,15935000,0,5592000,10082000
54600,10094000,0,16355000,0,0,5095000
54700,0,15929000,0,15619000,10085000,0
54800,0,0,15932000,0,5594000,10088000
54900,0,10098000,15873000,0,0,5583000
55000,5594000,0,10130000,15616000,0,0
55100,0,5603000,10084000,0,15707000,0
55200,10095000,0,16963000,0,0,4588000
55300,0,10077000,0,15922000,0,0
