array_size,best_time,worst_time,avg_time
50600,2.167363,2.547538,2.220341
50800,2.215960,2.261454,1.866457
51000,3.047323,1.776093,1.914524
51200,2.143917,2.221856,2.038773
51400,2.716712,2.814098,2.879042
51600,2.467500,2.527269,2.552704
51800,2.753578,2.757085,2.744926
52000,2.736053,2.551283,2.614092
52200,2.736788,2.653302,2.618851
52400,2.592521,2.742851,2.361096
52600,2.601031,2.813598,2.720050
52800,2.860239,2.554957,2.420475
53000,2.046963,2.249487,2.850616
53200,2.572471,2.931576,2.608411
53400,2.493107,2.921356,2.867593
53600,2.524141,2.933041,2.322204
53800,2.841613,4.374676,2.939727
54000,2.576742,2.108703,3.653555
54200,2.844367,2.765158,3.239289
54400,2.887303,3.778181,3.595815
54600,3.672058,3.775650,3.660770
54800,3.676176,3.648588,2.292251
55000,2.594933,2.654233,2.492271
55200,2.612093,2.459643,2.415960
55400,2.485231,2.692166,2.512066
55600,2.441952,2.572578,2.434663
55800,2.428690,2.831002,3.699372
56000,3.737459,3.978868,3.733631
56200,3.802149,4.030896,3.837796
56400,3.932389,3.690691,1.435390
56600,1.267840,1.465620,1.302036
56800,1.301765,1.358165,1.304226
57000,1.314383,1.406648,1.326469
57200,1.540275,1.532615,1.520774
57400,3.900002,4.107110,4.095769
57600,3.849829,4.156460,3.785729
57800,4.041216,4.307734,4.077476
58000,4.027454,4.272374,4.054344
58200,4.044387,4.295503,4.084636
58400,4.233303,4.443764,4.163220
58600,4.187717,4.347532,4.201875
58800,4.259876,4.367090,4.444621
59000,3.033192,3.326870,3.645005
59200,4.261420,4.531339,4.370212
59400,4.318479,4.578666,4.321851
59600,4.378424,4.611616,4.382872
59800,4.317222,4.647485,4.066997
60000,4.277571,4.449564,4.319312
60200,4.431338,3.901826,3.501263
60400,2.693512,2.995654,3.379515
60600,2.438351,1.576645,2.797362
60800,4.660324,4.662201,4.531989
61000,4.692954,3.796812,3.660038
61200,3.852219,4.955380,4.682048
61400,4.544457,4.944538,4.422430
61600,4.373891,4.716163,4.433503
61800,4.442933,4.927380,4.712946
62000,4.765447,4.693118,3.342593
62200,4.625483,4.751369,3.110911
62400,4.716214,5.148742,4.463034
62600,3.135542,2.943159,3.685111
62800,4.716615,4.552748,2.920797
63000,4.605504,5.083771,4.617838
63200,4.827885,5.125199,4.932918
63400,5.038888,5.165170,4.834027
63600,4.557912,5.001010,4.809133
63800,4.044617,3.599305,3.445234
64000,4.890737,4.345522,4.006292
64200,3.778398,3.438191,5.788538
64400,4.260162,5.178731,4.952121
64600,5.203736,5.401431,5.206862
64800,5.280633,5.344398,4.993840
65000,5.040984,5.362186,5.192242
65200,4.527368,4.976889,4.695661
65400,3.737085,4.867718,5.383988
65600,7.151451,5.319899,6.087283
65800,5.710436,5.427238,7.522738
66000,5.493839,4.335294,4.690882
66200,4.727444,3.823146,3.866645
66400,5.901399,5.333888,5.461922
66600,5.633256,5.145356,3.761586
66800,3.447988,3.337121,4.020115
67000,7.033469,4.399913,5.354751
67200,4.911690,3.787875,3.775826
67400,3.778759,4.123039,5.430449
67600,4.872794,6.426554,5.705902
67800,7.223937,6.711218,4.398279
68000,3.362298,4.303779,5.072737
68200,5.621396,6.145583,5.395275
68400,5.615482,5.879022,5.703621
68600,5.340543,5.985924,5.826214
68800,3.980535,5.232846,4.381243
69000,2.253474,4.357494,5.704121
69200,5.738889,6.096730,5.706070
69400,3.884548,3.967410,4.690392
69600,5.878519,6.142923,5.822758
69800,6.068476,6.398007,5.958601
70000,4.566005,6.350916,5.856786
70200,4.070714,3.902186,4.166368
70400,4.090929,4.368800,4.044154
70600,4.142243,3.762072,3.246719
