array_size,best_time,worst_time,avg_time
46800,0.000131,1.983431,0.000308
47000,0.000169,2.485878,0.001142
47200,0.000114,2.571228,0.000476
47400,0.000113,2.023782,0.000389
47600,0.000144,2.613983,0.000362
47800,0.000193,2.762385,0.000419
48000,0.000108,2.121607,0.000414
48200,0.000116,2.858453,0.001020
48400,0.000172,2.492728,0.000389
48600,0.000125,2.561784,0.000392
48800,0.000096,2.197335,0.000368
49000,0.000221,2.741305,0.000884
49200,0.000099,2.610855,0.001002
49400,0.000095,2.630238,0.000520
49600,0.000233,2.576336,0.000369
49800,0.000099,2.417042,0.000385
50000,0.000109,2.535025,0.000480
50200,0.000095,2.519826,0.000441
50400,0.000107,2.593704,0.000578
50600,0.000219,2.777406,0.000469
50800,0.000117,3.062844,0.000473
51000,0.000153,4.228803,0.000545
51200,0.000111,2.248355,0.000640
51400,0.000199,3.612903,0.000936
51600,0.000223,3.373291,0.000479
51800,0.000165,2.863174,0.000623
52000,0.000187,3.299282,0.001914
52200,0.000185,3.114036,0.001066
52400,0.000174,3.290236,0.001061
52600,0.000147,3.433952,0.000747
52800,0.000252,3.602656,0.000867
53000,0.000214,3.037929,0.000951
53200,0.000223,3.747457,0.000784
53400,0.000149,3.507651,0.000934
53600,0.000149,3.454056,0.000469
53800,0.000140,3.381162,0.000739
54000,0.000228,3.135137,0.001079
54200,0.000209,4.484649,0.000896
54400,0.000258,2.888546,0.000776
54600,0.000435,4.467362,0.000651
54800,0.000245,4.470458,0.001013
55000,0.000149,4.015290,0.000627
55200,0.000205,3.224934,0.000389
55400,0.000186,3.382541,0.028762
55600,0.000152,3.284351,0.125674
55800,0.000113,3.226218,0.024229
56000,0.000254,4.641546,0.160645
56200,0.000256,4.602549,0.001040
56400,0.000238,4.890865,0.000841
56600,0.000085,1.860257,0.000228
56800,0.000095,1.690230,0.000297
57000,0.000090,1.696884,0.000370
57200,0.000085,1.783211,0.000409
57400,0.000363,4.870398,0.103580
57600,0.000146,4.649977,0.034380
57800,0.000258,5.079510,0.170573
58000,0.000402,5.282448,0.033513
58200,0.000320,5.149561,0.175746
58400,0.000261,5.285801,0.001350
58600,0.000270,5.186423,0.000795
58800,0.000170,5.249695,0.000750
59000,0.000264,5.458573,0.001014
59200,0.000307,5.385778,0.000653
59400,0.000272,5.437142,0.083247
59600,0.000252,5.399622,0.033736
59800,0.000278,5.438175,0.183773
60000,0.000093,3.439343,0.044550
60200,0.000269,5.378908,0.154236
60400,0.000131,4.040413,0.000885
60600,0.000143,3.540427,0.000688
60800,0.000155,5.971684,0.000468
61000,0.000154,5.599324,0.000731
61200,0.000158,5.748730,0.000667
61400,0.000248,5.726587,0.054855
61600,0.000298,5.492091,0.001200
61800,0.000277,5.963657,0.031879
62000,0.000316,5.837931,0.197071
62200,0.000262,5.938463,0.037299
62400,0.000284,5.212891,0.182461
62600,0.000116,3.648963,0.001261
